,smiles,compound_set,ROMol,inchi
0,NC(=O)C1CCCN(C(=O)c2ccc(Cl)c(C(=O)CN3CCCC3)c2)C1,x0926 merge into p1’,<rdkit.Chem.rdchem.Mol object at 0x160390740>,XFGYJWHIQIBJSY-UHFFFAOYSA-N
1,NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NC2CC2)C1,x0926 going down p1,<rdkit.Chem.rdchem.Mol object at 0x1603902e0>,FLMILONKHOWECW-UHFFFAOYSA-N
2,NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NCc2ccccc2)C1,x0926 going down p1,<rdkit.Chem.rdchem.Mol object at 0x160390270>,IBRVECODLZJKOD-UHFFFAOYSA-N
3,C[n+]1ccc(C(=O)N2CCCC(C(N)=O)C2Cl)[nH]1,X0926 and x1346,<rdkit.Chem.rdchem.Mol object at 0x160390350>,BTEBCTYBHLEZJH-UHFFFAOYSA-O
4,NC(=O)C1CCCN(C(=O)Cc2[nH]ncc2CC(=O)NC2CC2)C1,X0926 and x1346,<rdkit.Chem.rdchem.Mol object at 0x160390190>,OUZJAERXRYTSSC-UHFFFAOYSA-N
5,O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,X0926 and x1346,<rdkit.Chem.rdchem.Mol object at 0x160390200>,QGMUJYUUQHRYMH-UHFFFAOYSA-N
6,O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,X0926 and x1347and x1019,<rdkit.Chem.rdchem.Mol object at 0x1603903c0>,QGMUJYUUQHRYMH-UHFFFAOYSA-N
7,CC(=O)Nc1ccccc1CCS(N)(=O)=O,x0487 P2 extension,<rdkit.Chem.rdchem.Mol object at 0x160390430>,RCQABPSABHETPA-UHFFFAOYSA-N
8,CC(=O)Nc1c(F)cncc1CCS(N)(=O)=O,x0487 P2 extension,<rdkit.Chem.rdchem.Mol object at 0x160391a10>,WGWAZNAGHJOVFM-UHFFFAOYSA-N
9,CC(=O)Nc1c(F)cncc1C(C)CS(N)(=O)=O,x0487 P2 extension,<rdkit.Chem.rdchem.Mol object at 0x160391a80>,HTUHNYUZKHXZKD-UHFFFAOYSA-N
10,CC(=O)Nc1c(CCS(=O)(=O)Cc2ccccc2)cnnc1F,x0487 P2 extension,<rdkit.Chem.rdchem.Mol object at 0x160391af0>,OIKGITNDONYCGO-UHFFFAOYSA-N
